whc_id;nombre;pais;categoria;criterios;lat;lon;n_componentes
719;Yugyd Va National Park;Russia;natural;(vii) (ix);64.4631;59.0123;4
720;Messel pit;Germany;natural;(viii);49.9175;8.756667;1
721;Carlsbad Caverns National Park;United States;natural;(vii) (viii);32.175277777778;-104.44388888889;1
722;Bangaan Rice Terraces;Philippines;cultural;(iii) (iv) (v);16.963611111111;121.22194444444;3
723;Cultural Landscape of Sintra;Portugal;cultural;(ii) (iv) (v);38.788388;-9.433823;1
724;Gračanica monastery;Serbia;cultural;(ii) (iii) (iv);42.598333333333;21.193333333333;6
725;Dobšinská Ice Cave;Slovakia;natural;(viii);48.868333333333;20.304444444444;6
726;historical centre of Naples;Italy;cultural;(ii) (iv);40.83331;14.25;6
728;Old and New Towns of Edinburgh;United Kingdom;cultural;(ii) (iv);55.95;-3.216666667;1
729;Masters' Houses;Germany;cultural;(ii) (iv) (vi);51.84336;12.22153;12
730;Crespi d'Adda;Italy;cultural;(iv) (v);45.596666666667;9.5361111111111;1
731;Hanseatic town of Visby;Sweden;cultural;(iv) (v);57.64166667;18.29583333;1
732;Church of the Assumption of Our Lady and Saint John the Baptist;Czech Republic;cultural;(ii) (iv);49.95984;15.28988;3
733;Pallazzo Diamantina;Italy;cultural;(ii) (iii) (iv) (v) (vi);44.88498;11.509145;4
734;Historic Villages of Shirakawa-gō and Gokayama;Japan;cultural;(iv) (v);36.25694444;136.90638889;5
736;Seokguram Grotto and Bulguksa Temple;South Korea;cultural;(i) (iv);35.766667;129.333333;2
737;Haeinsa Temple Janggyeong Panjeon, the Depositories for the Tripitaka Koreana Woodblocks;South Korea;cultural;(iv) (vi);35.8;128.1;1
738;Jongmyo;South Korea;cultural;(iv);37.574722222222;126.99361111111;1
739;Schokland;Netherlands;cultural;(iii) (v);52.638611111111;5.7716666666667;1
740;Gough Island;United Kingdom;natural;(vii) (x);-40.32;-9.94;4
741;Old Town Lunenburg;Canada;cultural;(iv) (v);44.376111111111;-64.309166666667;1
742;Santa Cruz de Mompós;Colombia;cultural;(iv) (v);9.2394444444444;-74.425;2
743;Tierradentro;Colombia;cultural;(iii);2.583;-76.033;1
744;San Agustin archeological park;Colombia;cultural;(iii);1.8844444444444;-76.296111111111;1
747;Historic Quarter of the City of Colonia del Sacramento;Uruguay;cultural;(v);-34.471543;-57.851234;1
749;Arli National Park;Burkina Faso;natural;(ix) (x);11.58361111;1.46833333;18
750;Ancient Ksour of Ouadane, Chinguetti, Tichitt and Oualata;Mauritania;cultural;(iii) (iv) (v);20.92889;-11.62361;5
